GID,semester,ACTHIGHEST,SATHIGHEST,ACTcalc,HS_GPA,first_generation,gender,race,PELL_ELIGIBLE,CUM_GPA,CAREER_LEVEL,class,Term,Instructor,PIDM
ABR0032,Su20,30,,30,4.57,N,F,Two or more races,,,U,SO,202130,Curtiss,3912438
KMR0065,Su20,30,0,30,4.06,Y,F,Caucasian / White,,,U,FR,202130,Curtiss,3915297
BDP0041,Fa20,,,,3.71,Y,F,Caucasian / White,,,U,JR,202010,Curtiss,3915949
JZP0096,Fa20,24,0,24,3.22,N,M,Black or African American,Pell eliglble filer,2.45,U,FR,202010,Curtiss,3917603
ACA0044,Su20,,,,,,F,Hispanic,,,P,P1,202130,Curtiss,3921197
ACA0044,Su20,22,,22,,Y,F,Hispanic,,,U,JR,202130,Curtiss,3921197
DHK0005,Fa20,0,1120,22,2.88,N,M,Asian,Pell ineligible filer,1.86,U,FR,202010,Curtiss,3923789
PZX0005,Su20,,,,,,M,Non-Resident Alien,,,U,FR,202130,Curtiss,3925226
RFS0018,Su20,35,,35,4.19,Y,M,Caucasian / White,,,U,SO,202130,Curtiss,3925848
JDP0077,Su20,34,,34,4.14,Y,M,Caucasian / White,,,U,FR,202130,Curtiss,3925948
ADH0074,Fa20,33,,33,4.14,N,F,Black or African American,Pell ineligible filer,2.4,U,SO,202010,Curtiss,3926027
DEM0040,Fa20,32,,32,4.43,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3926046
MKP0045,Fa20,32,,32,4.46,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3926373
CMB0195,Fa20,32,,32,4.08,N,F,Caucasian / White,Pell ineligible filer,4,U,SO,202010,Curtiss,3928128
MNE0008,Fa20,29,,29,3.81,N,F,Caucasian / White,Non-filer,3.07,U,FR,202010,Curtiss,3928452
SRS0082,Fa20,31,,31,4.8,Y,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3928708
ATB0052,Fa20,32,,32,4.99,N,F,Caucasian / White,Pell ineligible filer,3.79,U,FR,202010,Curtiss,3928804
WDM0027,Su20,34,,34,4.01,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3929303
ANC0057,Fa20,27,0,27,3.71,N,F,Caucasian / White,Pell ineligible filer,2.71,U,FR,202010,Curtiss,3930304
MLM0132,Su20,24,0,24,3.21,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3930541
LAK0027,Su20,27,0,27,3.58,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3931343
IML0006,Fa20,23,0,23,3.81,N,F,Caucasian / White,Non-filer,3.43,U,FR,202010,Curtiss,3932060
MZB0112,Su20,25,0,25,3.66,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3932493
TBT0009,Fa20,0,1290,27,3.86,N,M,Caucasian / White,Non-filer,3,U,FR,202010,Curtiss,3932733
SEJ0033,Fa20,,1180,24,2.74,,F,Black or African American,Pell ineligible filer,2.16,U,SO,202010,Curtiss,3933696
AEJ0035,Su20,26,0,26,4.37,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3934565
AAP0049,Su20,32,,32,4.57,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3934831
MAK0076,Fa20,30,,30,4.35,N,M,Caucasian / White,Non-filer,3.38,U,FR,202010,Curtiss,3934972
MAW0110,Su20,33,,33,4.55,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3935950
MJK0045,Su20,0,830,15,2.16,,F,Non-Resident Alien,,,U,FR,202130,Curtiss,3936385
MGW0028,Fa20,,1370,30,4,N,F,Caucasian / White,Pell ineligible filer,2.94,U,SO,202010,Curtiss,3938605
KEG0067,Fa20,0,1310,28,3.92,N,F,Caucasian / White,Pell ineligible filer,3.58,U,FR,202010,Curtiss,3939950
MLM0150,Su20,25,,25,4.07,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3941636
SAH0078,Su20,28,0,28,3.75,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3944343
DCR0023,Su20,33,,33,4.33,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3945132
CRJ0025,Su20,28,,28,4.52,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3945555
MCM0134,Su20,26,,26,4.31,N,F,Asian,,,U,FR,202130,Curtiss,3946972
KMJ0048,Fa20,,1080,21,3.33,,F,Two or more races,Pell ineligible filer,2.5,U,SO,202010,Curtiss,3949688
AZA0153,Su20,,,,,,M,Non-Resident Alien,,,U,FR,202130,Curtiss,3950803
BEP0015,Fa20,28,,28,4.16,N,F,Caucasian / White,Pell ineligible filer,3.86,U,SO,202010,Curtiss,3952767
DRW0026,Fa20,33,,33,4.19,N,M,Caucasian / White,Pell ineligible filer,3.83,U,FR,202010,Curtiss,3952791
GCH0021,Su20,26,,26,3.93,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3954180
CJK0048,Fa20,35,,35,4.19,N,M,Caucasian / White,Pell eliglble filer,4,U,FR,202010,Curtiss,3954489
ACC0130,Fa20,32,,32,4.23,N,F,Caucasian / White,Pell ineligible filer,3.5,U,FR,202010,Curtiss,3954511
AKH0053,Su20,31,,31,3.56,N,F,Two or more races,,,U,FR,202130,Curtiss,3955084
SKH0050,Fa20,28,,28,4.3,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,3955316
EAC0082,Su20,31,,31,4.71,N,F,Two or more races,,,U,SO,202130,Curtiss,3955414
MMS0121,Fa20,33,,33,4.33,N,F,Caucasian / White,Non-filer,4,U,FR,202010,Curtiss,3956747
CGL0015,Fa20,32,,32,4.4,N,F,Caucasian / White,Non-filer,3.5,U,FR,202010,Curtiss,3959800
MAM0232,Fa20,30,,30,3.96,N,F,Hispanic,Pell ineligible filer,3.03,U,FR,202010,Curtiss,3959848
ACT0044,Su20,31,,31,4.5,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3960070
GCK0012,Fa20,24,,24,4.03,N,F,Caucasian / White,Pell ineligible filer,3.71,U,FR,202010,Curtiss,3960294
JAL0085,Fa20,29,,29,4.05,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3960309
HTS0017,Fa20,31,,31,4.45,N,M,Caucasian / White,Non-filer,4,U,SO,202010,Curtiss,3960364
WKS0008,Fa20,31,,31,4.41,N,M,Caucasian / White,Non-filer,3.79,U,FR,202010,Curtiss,3960398
ADH0069,Su20,,,,,,F,Caucasian / White,,,U,SO,202130,Curtiss,3961041
CZH0106,Fa20,,1290,27,3.5,N,M,Caucasian / White,Pell eliglble filer,3.02,U,FR,202010,Curtiss,3962354
KZA0048,Su20,,,,,,M,Non-Resident Alien,,,U,FR,202130,Curtiss,3965070
VKB0008,Fa20,31,,31,4.28,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3970513
REC0056,Fa20,28,,28,4.31,N,F,Caucasian / White,Pell eliglble filer,2.2,U,FR,202010,Curtiss,3970532
LNP0013,Fa20,29,,29,4.25,N,F,Caucasian / White,Pell ineligible filer,3.77,U,FR,202010,Curtiss,3970695
AGS0071,Fa20,31,,31,4.16,N,F,Caucasian / White,Non-filer,3.75,U,FR,202010,Curtiss,3970750
SAT0048,Fa20,31,,31,3.96,N,M,Caucasian / White,Pell eliglble filer,3.79,U,FR,202010,Curtiss,3970760
JTH0096,Fa20,25,,25,3.73,N,M,Caucasian / White,Pell ineligible filer,3.09,U,FR,202010,Curtiss,3970863
SJW0069,Fa20,30,,30,4.42,N,F,Caucasian / White,Pell ineligible filer,3.8,U,FR,202010,Curtiss,3971449
LRW0023,Fa20,22,,22,4.23,N,F,Caucasian / White,Pell ineligible filer,3.8,U,FR,202010,Curtiss,3972956
GSM0025,Fa20,29,,29,4.12,N,M,Caucasian / White,Non-filer,3.73,U,FR,202010,Curtiss,3972971
HAP0022,Fa20,25,,25,4.03,N,M,Caucasian / White,Non-filer,1.97,U,FR,202010,Curtiss,3973035
MWD0021,Fa20,22,,22,3.6,Y,F,Caucasian / White,,,U,SO,202010,Curtiss,3974783
GMH0056,Fa20,22,,22,,Y,F,Caucasian / White,,,U,JR,202010,Curtiss,3975095
RAS0097,Fa20,28,,28,4.48,N,F,Caucasian / White,Pell ineligible filer,3.49,U,FR,202010,Curtiss,3975726
DWC0018,Fa20,29,,29,3.65,N,M,Caucasian / White,Pell eliglble filer,1.92,U,FR,202010,Curtiss,3977477
ANC0070,Fa20,30,,30,4.06,Y,F,Caucasian / White,Pell ineligible filer,2.4,U,FR,202010,Curtiss,3978553
TPB0014,Fa20,27,,27,3.84,N,M,Caucasian / White,Non-filer,2.58,U,FR,202010,Curtiss,3980664
ASH0063,Su20,25,,25,3.81,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3980767
TXK0002,Fa20,29,,29,3.41,Y,M,Black or African American,Pell ineligible filer,2.08,U,FR,202010,Curtiss,3981496
DGH0020,Fa20,30,,30,4.03,N,M,Caucasian / White,Non-filer,2.93,U,FR,202010,Curtiss,3982460
JAC0151,Su20,30,,30,4.24,N,F,Hispanic,,,U,FR,202130,Curtiss,3983061
CGJ0018,Fa20,21,,21,3.57,N,F,Black or African American,Pell eliglble filer,2.38,U,FR,202010,Curtiss,3983170
ERB0062,Fa20,35,,35,4.57,N,F,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3983507
AEB0128,Fa20,26,,26,4.09,Y,F,Caucasian / White,Pell ineligible filer,2.71,U,FR,202010,Curtiss,3983545
CMC0195,Fa20,28,,28,4.2,N,F,Caucasian / White,,,U,JR,202010,Curtiss,3983573
CED0065,Fa20,31,,31,4.41,N,F,Caucasian / White,Pell ineligible filer,3.8,U,FR,202010,Curtiss,3984048
SAB0124,Fa20,29,,29,4.36,N,F,Caucasian / White,Non-filer,3.57,U,FR,202010,Curtiss,3984072
BAH0074,Fa20,29,,29,4.19,N,M,Caucasian / White,Pell ineligible filer,3.38,U,FR,202010,Curtiss,3984559
RBJ0012,Fa20,33,,33,4.31,N,M,Caucasian / White,Pell ineligible filer,4,U,FR,202010,Curtiss,3984565
NJK0009,Fa20,27,,27,4.33,N,F,Caucasian / White,Pell eliglble filer,4,U,FR,202010,Curtiss,3985386
CEG0054,Su20,32,,32,4.43,N,F,Caucasian / White,,,U,FR,202130,Curtiss,3985866
SHP0019,Fa20,33,,33,4.21,N,M,Caucasian / White,Pell ineligible filer,4,U,SO,202010,Curtiss,3986074
SDK0015,Fa20,31,,31,4.33,N,M,Caucasian / White,Pell ineligible filer,3.08,U,FR,202010,Curtiss,3986648
LLR0008,Fa20,,1190,24,3.68,N,F,Caucasian / White,Pell ineligible filer,2.73,U,FR,202010,Curtiss,3986776
KNE0015,Su20,,1090,21,3.96,N,F,Black or African American,,,U,FR,202130,Curtiss,3990297
CVP0008,Fa20,26,,26,4.1,N,F,Caucasian / White,Non-filer,3.02,U,FR,202010,Curtiss,3990763
GMT0015,Su20,27,,27,2.83,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3991359
OPF0002,Fa20,24,,24,3.41,N,F,Caucasian / White,Non-filer,2.97,U,FR,202010,Curtiss,3991547
KPS0017,Su20,,1230,26,3.79,N,F,Two or more races,,,U,FR,202130,Curtiss,3992013
WZH0033,Fa20,,,,,,M,Non-Resident Alien,Non-filer,2.73,U,FR,202010,Curtiss,3992741
NPY0001,Su20,33,,33,4.03,Y,M,Caucasian / White,,,U,FR,202130,Curtiss,3993156
TNH0020,Fa20,24,,24,4.54,N,F,Caucasian / White,Pell ineligible filer,3.59,U,FR,202010,Curtiss,3993377
WLP0007,Su20,,1330,29,3.71,N,M,Caucasian / White,,,U,FR,202130,Curtiss,3993759
KJB0059,Fa20,29,,29,4.3,N,F,Caucasian / White,Pell ineligible filer,3.79,U,FR,202010,Curtiss,3993966
LGB0029,Fa20,33,,33,4.34,N,F,Caucasian / White,Pell ineligible filer,3.57,U,FR,202010,Curtiss,3993975
CLC0133,Fa20,27,,27,4.04,N,M,Caucasian / White,Pell ineligible filer,3.8,U,FR,202010,Curtiss,3993993
KRC0066,Fa20,32,,32,4.15,N,F,Caucasian / White,Pell ineligible filer,3.63,U,FR,202010,Curtiss,3994001
